+------+------------------------------+-----------------------+------------+-----------+--------+--------+---------+
|  id  |             name             |         class         |    mass    | discovery |  year  |  lat   |  long   |
| 94   | Jiddat al Harasis 766        | L4                    | 73.0       | Found     | NULL   | 19.81  | 56.49   |
| 95   | Jiddat al Harasis 767        | L4                    | 91.0       | Found     | NULL   | 19.81  | 56.51   |
| 96   | Jiddat al Harasis 768        | L4                    | 64.0       | Found     | NULL   | 19.81  | 56.51   |
| 97   | Jiddat al Harasis 769        | L4                    | 36.5       | Found     | NULL   | 19.81  | 56.51   |
| 98   | Jiddat al Harasis 770        | L4                    | 26.0       | Found     | NULL   | 19.81  | 56.49   |
| 99   | Jiddat al Harasis 771        | L4                    | 40.3       | Found     | NULL   | 19.81  | 56.51   |
| 100  | Jiddat al Harasis 772        | H4                    | 39.6       | Found     | NULL   | 19.81  | 56.51   |
| 101  | Jiddat al Harasis 773        | L4                    | 19.32      | Found     | NULL   | 19.81  | 56.51   |
| 102  | Jiddat al Harasis 774        | L4                    | 131.0      | Found     | NULL   | 19.81  | 56.42   |
| 103  | Jiddat al Harasis 775        | L4                    | 17.9       | Found     | NULL   | 19.81  | 56.51   |
| 104  | Jiddat al Harasis 776        | L4                    | 85.0       | Found     | NULL   | 19.82  | 56.49   |
| 105  | Jiddat al Harasis 777        | L4                    | 130.0      | Found     | NULL   | 19.82  | 56.45   |
| 106  | Jiddat al Harasis 778        | L4                    | 367.0      | Found     | NULL   | 19.83  | 56.44   |
| 107  | Jiddat al Harasis 779        | L4                    | 57.0       | Found     | NULL   | 19.85  | 56.44   |
| 108  | Jiddat al Harasis 780        | L4                    | 32.5       | Found     | NULL   | 19.82  | 56.44   |
| 109  | Jiddat al Harasis 781        | L4                    | 169.0      | Found     | NULL   | 19.8   | 56.43   |
| 110  | Jiddat al Harasis 782        | L4                    | 532.0      | Found     | NULL   | 19.8   | 56.54   |
| 111  | Jiddat al Harasis 783        | L4                    | 553.5      | Found     | NULL   | 19.84  | 56.42   |
| 112  | Jiddat al Harasis 784        | H4                    | 182.0      | Found     | NULL   | 19.84  | 56.42   |
| 113  | Jiddat al Harasis 785        | L6                    | 36.7       | Found     | NULL   | 20.0   | 56.33   |
| 114  | Jiddat al Harasis 786        | L5                    | 227.0      | Found     | NULL   | 19.84  | 55.89   |
| 115  | Jiddat al Harasis 787        | L6                    | 6.8        | Found     | NULL   | 19.82  | 55.72   |
| 116  | Jiddat al Harasis 788        | H4                    | 108.0      | Found     | NULL   | 19.73  | 55.72   |
| 117  | Jiddat al Harasis 789        | L6                    | 227.0      | Found     | NULL   | 19.71  | 55.74   |
| 118  | Jiddat al Harasis 790        | L6                    | 868.0      | Found     | NULL   | 19.7   | 55.73   |
| 119  | Jiddat al Harasis 791        | L6                    | 1194.0     | Found     | NULL   | 19.73  | 55.7    |
| 120  | Jiddat al Harasis 792        | H6                    | 353.0      | Found     | NULL   | 19.82  | 55.93   |
| 121  | Jiddat al Harasis 793        | L5                    | 420.0      | Found     | NULL   | 19.93  | 55.96   |
| 122  | Jiddat al Harasis 794        | L5                    | 387.0      | Found     | NULL   | 19.97  | 55.99   |
| 123  | Jiddat al Harasis 795        | L4                    | 5.3        | Found     | NULL   | 19.88  | 55.9    |
| 124  | Jiddat al Harasis 796        | L5                    | 22.8       | Found     | NULL   | 19.81  | 55.75   |
| 125  | Jiddat al Harasis 797        | L5                    | 249.0      | Found     | NULL   | 19.73  | 55.57   |
| 126  | Kalahari 001                 | H4/5                  | 150.0      | Found     | NULL   | NULL   | NULL    |
| 127  | Kalahari 002                 | H5                    | 141.0      | Found     | NULL   | NULL   | NULL    |
| 128  | Kalahari 003                 | H5/6                  | 827.0      | Found     | NULL   | NULL   | NULL    |
| 129  | Kalahari 004                 | H5                    | 87.0       | Found     | NULL   | NULL   | NULL    |
| 130  | Kalahari 005                 | H5                    | 220.0      | Found     | NULL   | NULL   | NULL    |
| 131  | Kalahari 006                 | H5                    | 157.0      | Found     | NULL   | NULL   | NULL    |
| 132  | Kalahari 007                 | H4                    | 72.0       | Found     | NULL   | NULL   | NULL    |
| 133  | Karavannoe                   | Pallasite, PES        | 132000.0   | Found     | NULL   | 57.78  | 47.68   |
| 134  | Moshesh                      | H                     | 200000.0   | Found     | NULL   | -30.1  | 28.72   |
| 135  | Ness County (c)              | OC                    | 399.0      | Found     | NULL   | NULL   | NULL    |
| 136  | Northwest Africa 048         | LL6                   | 851.0      | Found     | NULL   | NULL   | NULL    |
| 137  | Northwest Africa 050         | H5                    | 1145.0     | Found     | NULL   | 29.92  | -5.58   |
| 138  | Northwest Africa 051         | L4                    | 330.0      | Found     | NULL   | 29.92  | -5.58   |
| 139  | Northwest Africa 053         | R4                    | 390.0      | Found     | NULL   | 32.05  | -3.03   |
| 140  | Northwest Africa 054         | LL5                   | 305.0      | Found     | NULL   | 32.05  | -3.03   |
| 141  | Northwest Africa 055         | L4                    | 42000.0    | Found     | NULL   | 32.05  | -3.03   |
| 142  | Northwest Africa 056         | H5                    | 436.0      | Found     | NULL   | 27.17  | -9.5    |
| 143  | Northwest Africa 057         | H5                    | 370.0      | Found     | NULL   | 27.17  | -9.5    |
| 144  | Northwest Africa 058         | L6                    | 1091.0     | Found     | NULL   | 27.17  | -9.5    |
| 145  | Northwest Africa 059         | H3.9/4                | 27000.0    | Found     | NULL   | 31.83  | -2.93   |
| 146  | Northwest Africa 1007        | L6                    | 4420.0     | Found     | NULL   | 0.0    | 0.0     |
| 147  | Northwest Africa 1239        | Diogenite-pm          | 237.0      | Found     | NULL   | NULL   | NULL    |
| 148  | Northwest Africa 1611        | Iron, IAB-MG          | 6000.0     | Found     | NULL   | 0.0    | 0.0     |
| 149  | Northwest Africa 1809        | LL6                   | 214.0      | Found     | NULL   | NULL   | NULL    |
| 150  | Northwest Africa 1811        | LL6                   | 300.0      | Found     | NULL   | NULL   | NULL    |
| 151  | Northwest Africa 1993        | H6                    | 1670.0     | Found     | NULL   | NULL   | NULL    |
| 152  | Northwest Africa 2016        | H4                    | 215.0      | Found     | NULL   | NULL   | NULL    |
| 153  | Northwest Africa 2036        | EL6                   | 390.0      | Found     | NULL   | 31.59  | -5.77   |
| 154  | Northwest Africa 2055        | H4                    | 148.0      | Found     | NULL   | NULL   | NULL    |
| 155  | Northwest Africa 2056        | L4                    | 1447.0     | Found     | NULL   | NULL   | NULL    |
| 156  | Northwest Africa 2057        | H4                    | 958.0      | Found     | NULL   | NULL   | NULL    |
| 157  | Northwest Africa 2188        | H4                    | 129.0      | Found     | NULL   | NULL   | NULL    |
| 158  | Northwest Africa 2193        | L6                    | 785.0      | Found     | NULL   | NULL   | NULL    |
| 159  | Northwest Africa 2195        | LL3.6                 | 152.5      | Found     | NULL   | NULL   | NULL    |
| 160  | Northwest Africa 2196        | CR2                   | 141.7      | Found     | NULL   | NULL   | NULL    |
| 161  | Northwest Africa 2226        | Howardite             | 1004.0     | Found     | NULL   | NULL   | NULL    |
| 162  | Northwest Africa 2227        | Eucrite               | 302.0      | Found     | NULL   | NULL   | NULL    |
| 163  | Northwest Africa 2350        | H4                    | 141.5      | Found     | NULL   | NULL   | NULL    |
| 164  | Northwest Africa 2514        | H4                    | 6.6        | Found     | NULL   | NULL   | NULL    |
| 165  | Northwest Africa 2599        | LL5                   | 234.5      | Found     | NULL   | 0.0    | 0.0     |
| 166  | Northwest Africa 2601        | L3                    | 576.0      | Found     | NULL   | 0.0    | 0.0     |
| 167  | Northwest Africa 2612        | H5                    | 1109.0     | Found     | NULL   | 0.0    | 0.0     |
| 168  | Northwest Africa 2615        | H6                    | 202.8      | Found     | NULL   | 0.0    | 0.0     |
| 169  | Northwest Africa 2740        | L5                    | 53822.0    | Found     | NULL   | NULL   | NULL    |
| 170  | Northwest Africa 2741        | LL5                   | 1350.0     | Found     | NULL   | NULL   | NULL    |
| 171  | Northwest Africa 3172        | L                     | 21029.0    | Found     | NULL   | NULL   | NULL    |
| 172  | Northwest Africa 4052        | L3-6                  | 66.0       | Found     | NULL   | NULL   | NULL    |
| 173  | Northwest Africa 4053        | H5                    | 610.0      | Found     | NULL   | NULL   | NULL    |
| 174  | Northwest Africa 4054        | H5                    | 454.0      | Found     | NULL   | NULL   | NULL    |
| 175  | Northwest Africa 4055        | L6                    | 196.0      | Found     | NULL   | NULL   | NULL    |
| 176  | Northwest Africa 4057        | L3                    | 103.4      | Found     | NULL   | NULL   | NULL    |
| 177  | Northwest Africa 4058        | LL6                   | 58.0       | Found     | NULL   | NULL   | NULL    |
| 178  | Northwest Africa 4060        | L6                    | 292.0      | Found     | NULL   | NULL   | NULL    |
| 179  | Northwest Africa 4061        | H4/5                  | 41.2       | Found     | NULL   | NULL   | NULL    |
| 180  | Northwest Africa 4063        | L6                    | 132.4      | Found     | NULL   | NULL   | NULL    |
| 181  | Northwest Africa 4064        | H6                    | 130.6      | Found     | NULL   | NULL   | NULL    |
| 182  | Northwest Africa 4065        | H5                    | 146.4      | Found     | NULL   | NULL   | NULL    |
| 183  | Northwest Africa 4066        | H5                    | 254.0      | Found     | NULL   | NULL   | NULL    |
| 184  | Northwest Africa 4067        | L5                    | 335.4      | Found     | NULL   | NULL   | NULL    |
| 185  | Northwest Africa 4068        | H4/5                  | 460.0      | Found     | NULL   | NULL   | NULL    |
| 186  | Northwest Africa 4069        | L6                    | 506.0      | Found     | NULL   | NULL   | NULL    |
| 187  | Northwest Africa 4072        | L5                    | 334.7      | Found     | NULL   | NULL   | NULL    |
| 188  | Northwest Africa 4073        | H6                    | 242.0      | Found     | NULL   | NULL   | NULL    |
| 189  | Northwest Africa 4074        | H5/6                  | 216.0      | Found     | NULL   | NULL   | NULL    |
| 190  | Northwest Africa 4076        | L6                    | 143.1      | Found     | NULL   | NULL   | NULL    |
| 191  | Northwest Africa 4077        | H6                    | 89.9       | Found     | NULL   | NULL   | NULL    |
| 192  | Northwest Africa 4078        | L5                    | 53.1       | Found     | NULL   | NULL   | NULL    |
| 193  | Northwest Africa 4079        | L5                    | 192.0      | Found     | NULL   | NULL   | NULL    |
| 194  | Northwest Africa 4080        | L6                    | 99.1       | Found     | NULL   | NULL   | NULL    |
| 195  | Northwest Africa 4083        | L4                    | 77.5       | Found     | NULL   | NULL   | NULL    |
| 196  | Northwest Africa 4084        | H3                    | 70.0       | Found     | NULL   | NULL   | NULL    |
| 197  | Northwest Africa 4085        | L6                    | 68.7       | Found     | NULL   | NULL   | NULL    |
| 198  | Northwest Africa 4087        | L6                    | 57.8       | Found     | NULL   | NULL   | NULL    |
| 199  | Northwest Africa 4089        | H/L4/5                | 96.8       | Found     | NULL   | NULL   | NULL    |
| 200  | Northwest Africa 4090        | L6                    | 776.3      | Found     | NULL   | NULL   | NULL    |
| 201  | Northwest Africa 4092        | L6                    | 147.6      | Found     | NULL   | NULL   | NULL    |
| 202  | Northwest Africa 4094        | H4                    | 143.5      | Found     | NULL   | NULL   | NULL    |
| 203  | Northwest Africa 4097        | H/L3                  | 128.5      | Found     | NULL   | NULL   | NULL    |
| 204  | Northwest Africa 4098        | L4/5                  | 1470.0     | Found     | NULL   | NULL   | NULL    |
| 205  | Northwest Africa 4101        | H4                    | 261.0      | Found     | NULL   | NULL   | NULL    |
| 206  | Northwest Africa 4102        | L6                    | 169.0      | Found     | NULL   | NULL   | NULL    |
| 207  | Northwest Africa 4103        | L3                    | 112.8      | Found     | NULL   | NULL   | NULL    |
| 208  | Northwest Africa 4104        | H4                    | 60.0       | Found     | NULL   | NULL   | NULL    |
| 209  | Northwest Africa 4107        | L6                    | 53.1       | Found     | NULL   | NULL   | NULL    |
| 210  | Northwest Africa 4109        | L6                    | 233.0      | Found     | NULL   | NULL   | NULL    |
| 211  | Northwest Africa 4110        | L6                    | 309.0      | Found     | NULL   | NULL   | NULL    |
| 212  | Northwest Africa 4112        | L6                    | 45.0       | Found     | NULL   | NULL   | NULL    |
| 213  | Northwest Africa 4113        | L4                    | 78.4       | Found     | NULL   | NULL   | NULL    |
| 214  | Northwest Africa 4116        | H5/6                  | 90.6       | Found     | NULL   | NULL   | NULL    |
| 215  | Northwest Africa 4117        | H3/4                  | 70.0       | Found     | NULL   | NULL   | NULL    |
| 216  | Northwest Africa 4120        | L6                    | 15200.0    | Found     | NULL   | NULL   | NULL    |
| 217  | Northwest Africa 4121        | L6                    | 750.0      | Found     | NULL   | NULL   | NULL    |
| 218  | Northwest Africa 4124        | H6                    | 81.8       | Found     | NULL   | NULL   | NULL    |
| 219  | Northwest Africa 4125        | L5/6                  | 209.0      | Found     | NULL   | NULL   | NULL    |
| 220  | Northwest Africa 4127        | L6                    | 54.4       | Found     | NULL   | NULL   | NULL    |
| 221  | Northwest Africa 4129        | H3                    | 42.9       | Found     | NULL   | NULL   | NULL    |
| 222  | Northwest Africa 4135        | L6                    | 91.1       | Found     | NULL   | NULL   | NULL    |
| 223  | Northwest Africa 4136        | L6                    | 78.2       | Found     | NULL   | NULL   | NULL    |
| 224  | Northwest Africa 4137        | L6                    | 121.1      | Found     | NULL   | NULL   | NULL    |
| 225  | Northwest Africa 4139        | H6                    | 341.0      | Found     | NULL   | NULL   | NULL    |
| 226  | Northwest Africa 4140        | L6                    | 139.1      | Found     | NULL   | NULL   | NULL    |
| 227  | Northwest Africa 4141        | L6                    | 70.3       | Found     | NULL   | NULL   | NULL    |
| 228  | Northwest Africa 4142        | H4                    | 63.0       | Found     | NULL   | NULL   | NULL    |
| 229  | Northwest Africa 4143        | L4                    | 74.4       | Found     | NULL   | NULL   | NULL    |
| 230  | Northwest Africa 4145        | H4                    | 122.3      | Found     | NULL   | NULL   | NULL    |
| 231  | Northwest Africa 4146        | L6                    | 305.6      | Found     | NULL   | NULL   | NULL    |
| 232  | Northwest Africa 4150        | H/L6-melt rock        | 436.4      | Found     | NULL   | NULL   | NULL    |
| 233  | Northwest Africa 4152        | H/L6                  | 91.7       | Found     | NULL   | NULL   | NULL    |
| 234  | Northwest Africa 4153        | H/L6                  | 75.4       | Found     | NULL   | NULL   | NULL    |
| 235  | Northwest Africa 4154        | H/L6                  | 132.5      | Found     | NULL   | NULL   | NULL    |
| 236  | Northwest Africa 4155        | H/L6                  | 247.0      | Found     | NULL   | NULL   | NULL    |
| 237  | Northwest Africa 4156        | H/L6                  | 165.0      | Found     | NULL   | NULL   | NULL    |
| 238  | Northwest Africa 4157        | L3                    | 135.0      | Found     | NULL   | NULL   | NULL    |
| 239  | Northwest Africa 4158        | H5                    | 77.7       | Found     | NULL   | NULL   | NULL    |
| 240  | Northwest Africa 4772        | L5                    | 9.7        | Found     | NULL   | NULL   | NULL    |
| 241  | Northwest Africa 4773        | L5                    | 249.8      | Found     | NULL   | NULL   | NULL    |
| 242  | Northwest Africa 4774        | LL6                   | 9.1        | Found     | NULL   | NULL   | NULL    |
| 243  | Northwest Africa 4775        | LL5                   | 22.7       | Found     | NULL   | NULL   | NULL    |
| 244  | Northwest Africa 4776        | LL6                   | 25.3       | Found     | NULL   | NULL   | NULL    |
| 245  | Northwest Africa 4777        | H4                    | 1396.6     | Found     | NULL   | NULL   | NULL    |
| 246  | Northwest Africa 4908        | Eucrite               | 464.0      | Found     | NULL   | 0.0    | 0.0     |
| 247  | Northwest Africa 5290        | L6                    | 716.0      | Found     | NULL   | NULL   | NULL    |
| 248  | Northwest Africa 5291        | H5                    | 230.0      | Found     | NULL   | NULL   | NULL    |
| 249  | Northwest Africa 5709        | L3                    | 8.1        | Found     | NULL   | 0.0    | 0.0     |
| 250  | Northwest Africa 5710        | L5                    | 344.3      | Found     | NULL   | 0.0    | 0.0     |
