+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Salem Academy Charter School                                                      | 98.3      | 19262.34              |
| Bedford High                                                                      | 98.4      | 21372.7               |
| Duxbury High                                                                      | 98.4      | 18103.55              |
| Foxborough High                                                                   | 98.4      | 20620.81              |
| Newton South High                                                                 | 98.4      | 23431.12              |
| Westwood High                                                                     | 98.4      | 20499.76              |
| Assabet Valley Vocational High School                                             | 98.5      | 20447.01              |
| Blue Hills Regional Vocational Technical                                          | 98.5      | 23629.7               |
| Joseph Case High                                                                  | 98.5      | 15361.85              |
| Norfolk County Agricultural                                                       | 98.5      | 23658.3               |
| Rising Tide Charter Public School                                                 | 98.5      | 18321.69              |
| Whittier Regional Vocational                                                      | 98.5      | 21641.88              |
| Advanced Math and Science Academy Charter School                                  | 98.6      | 16675.46              |
| Concord Carlisle High                                                             | 98.7      | 23344.72              |
| Lexington High                                                                    | 98.7      | 21429.38              |
| Medway High                                                                       | 98.7      | 17973.38              |
| Abby Kelley Foster Charter Public School                                          | 98.8      | 16853.85              |
| Acton-Boxborough Regional High                                                    | 98.8      | 18957.61              |
| Lynnfield High                                                                    | 98.8      | 17558.54              |
| Mystic Valley Regional Charter School                                             | 98.8      | 15001                 |
| Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School | 98.9      | 24835.64              |
| Southeastern Regional Vocational Technical                                        | 98.9      | 19974.35              |
| Winchester High School                                                            | 98.9      | 16817.9               |
| Worcester Technical High                                                          | 98.9      | 17315.9               |
| Wayland High School                                                               | 99.1      | 20613.54              |
| Westford Academy                                                                  | 99.1      | 16256.4               |
| Old Colony Regional Vocational Technical                                          | 99.2      | 22711.27              |
| Excel Academy Charter School                                                      | 99.4      | 19547.89              |
| Norwell High                                                                      | 99.4      | 17246.65              |
| Groton Dunstable Regional                                                         | 99.5      | 18968.5               |
| Hanover High                                                                      | 99.5      | 15268.87              |
| Longmeadow High                                                                   | 99.5      | 16704.59              |
| Belmont High                                                                      | 99.7      | 17450.83              |
| Blackstone Valley                                                                 | 99.7      | 21509.51              |
| Hopkinton High                                                                    | 99.7      | 15870.07              |
| Bromfield                                                                         | 100       | 21006                 |
| Cohasset High School                                                              | 100       | 20525.08              |
| Global Learning Charter Public School                                             | 100       | 17159.64              |
| O'Bryant School of Math & Science                                                 | 100       | 26589.17              |
| Pioneer Valley Regional                                                           | 100       | 23884.6               |
| Sizer School: A North Central Charter Essential School                            | 100       | 17947.98              |
| Tahanto Regional High                                                             | 100       | 17386.56              |
| Upper Cape Cod Vocational Technical                                               | 100       | 25338.64              |
| Weston High                                                                       | 100       | 30295.95              |
+-----------------------------------------------------------------------------------+-----------+-----------------------+
